epoch,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.0,0.9082058414464534,0.928949656208014,0.9184606368431334,0.9632122370936902,2.7169,555.414,8.834
2.0,0.9205889263058971,0.9290286888484944,0.924789552356227,0.9655066921606118,2.6844,562.132,8.94
3.0,0.9214724881313721,0.9357464632893385,0.9285546231668105,0.9673677501593372,2.6772,563.649,8.965
4.0,0.926984376226741,0.9331383861534814,0.9300512012603387,0.9675462077756533,3.7803,399.173,6.349
5.0,0.9246698444948035,0.9351932348059748,0.929901768172888,0.9676991714467814,2.6307,573.622,9.123
